Timestamp,Username,"Programa o carrera que estás estudiando: (en caso de doble titulación, menciona ambas carreras o programas).",Campus al que perteneces,Género,Nacionalidad:,Edad,1.- I get my full water bottle while leaving home.,2.- I wonder about increasing of cancer events in industrial areas.,3.- Degenerated enviromental conditions can cause negative effect on mental health.,"4.- What a pitty!, people think that technology can solve every problem, althought technology cannot produce one gram organic honey.","5.- The reflection of enviromental problems can be seen at the same time, in succession, and more than one area.",6.- I try to pattern people who have positive ecologic behavior in my social life.,7.- I prefer to buy local vegetables and fruits.,8.- I believe that one of the ways of fighting with obesity is enviromental education.,"9.- I have remorse to know some goods I buy, are produced by explotation of human work.","10.- One of the reasons of immigration of rural people, is the job lost due to global firms.",11.- Global firms prevent local producer to have profit.,"12.- People, to immigrate to another place, are cheaper laborer sources for big companies.","13.-  En una escala del 1 al 10, ¿cómo consideras que cambió tu mentalidad y comportamiento respecto a la sostenibilidad, como resultado de lo que aprendiste en tu carrera profesional?  (Donde 1 es nada, 10 es totalmente)",14.- Da alguna razón o justificación de tu respuesta anterior.
2025/05/06 3:29:54 PM MDT,11,LAET,Campus Guadalajara,Mujer,mexicana ,21 a 22 años,Partly disagree,Partly disagree,Partly agree,Partly agree,Partly agree,Partly agree,Partly agree,Partly agree,Partly agree,Not sure,Completely agree,Partly agree,7,Por lo que vimos en las clases y también con los socios formadores 
2025/05/06 3:31:06 PM MDT,12,LAET,Campus Guadalajara,Hombre,MEXICANO,23 a 24 años,Completely disagree,Not sure,Not sure,Partly agree,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,10,"La carrera tiene programas, temas y materias enfocadas al tema de la sustentabilidad."
2025/05/06 3:33:59 PM MDT,13,LAE,Campus Guadalajara,Hombre,Ecuatoriana,21 a 22 años,Partly agree,Not sure,Not sure,Not sure,Completely agree,Not sure,Not sure,Not sure,Not sure,Partly agree,Completely agree,Not sure,8,"Por ciertos socios formadores que me llevaorn a investigar sobre el tema
"
2025/05/06 3:34:08 PM MDT,14,LAET,Campus Guadalajara,Mujer,Mexicana,21 a 22 años,Completely agree,Partly agree,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,Partly agree,Completely agree,Partly agree,Partly agree,Partly agree,10,"Dado a clases y proyectos que he trabajado, así como los protocolos y procesos de la institución he aprendido mucho spbre el tema. "
2025/05/06 3:34:34 PM MDT,15,LAET,Campus Guadalajara,Mujer,Mexicana,21 a 22 años,Completely agree,Not sure,Completely agree,Partly agree,Completely agree,Partly agree,Completely agree,Not sure,Completely agree,Not sure,Completely agree,Partly agree,8,"A lo largo de la carrera pude aprender a tener una perspectiva de sustentabilidad, nos brindaron las bases de conocimiento."
2025/05/06 3:35:24 PM MDT,16,LAET,Campus Guadalajara,Mujer,Mexicana,21 a 22 años,Completely agree,Completely disagree,Completely agree,Not sure,Completely agree,Not sure,Completely agree,Not sure,Partly agree,Not sure,Partly agree,Not sure,10,"Debido a que en cada bloque veíamos algo relacionado con la sustentabilidad, ya que este tema ya es esencial hoy en día para TODAS las empresas. Entonces trabajar con ello, me ha ayudado a ser mas cuidadosa en muchas cosas"
2025/05/06 3:36:56 PM MDT,17,LAET,Campus Guadalajara,Hombre,Mexicana,21 a 22 años,Completely agree,Completely agree,Completely agree,Completely agree,Partly agree,Partly agree,Partly agree,Not sure,Partly agree,Completely agree,Completely agree,Completely agree,9,Hubieron algunas cosas de las cuáles no estaba enterado 
2025/05/06 4:01:29 PM MDT,18,LAET,Campus Guadalajara,Hombre,Mexicano,21 a 22 años,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,10,Por lo que hemos visto en clase
2025/05/06 4:06:00 PM MDT,19,LAET,Campus Guadalajara,Hombre,Mexicana,21 a 22 años,Partly agree,Partly agree,Partly agree,Completely agree,Partly agree,Not sure,Partly agree,Partly agree,Not sure,Partly agree,Partly agree,Not sure,8,Por los aprendizajes y las lecciones
2025/05/06 4:07:55 PM MDT,20,LAE,Campus Guadalajara,Hombre,Americana/mexicana,21 a 22 años,Completely agree,Completely agree,Partly agree,Not sure,Completely agree,Completely agree,Partly agree,Not sure,Completely agree,Partly disagree,Partly agree,Partly agree,8,Ya tenía conocimientos previos 
2025/05/06 4:09:26 PM MDT,21,LAE,Campus Guadalajara,Hombre,Mexicano,21 a 22 años,Partly agree,Completely agree,Completely agree,Not sure,Not sure,Partly agree,Partly agree,Partly disagree,Partly agree,Not sure,Partly agree,Partly agree,10,Tuve concentracion de negocios conscientes donde conoci sobre varios temas acerca de las buenas practicasd laborales y como de verdad hacen un cambio en la sociedad.
2025/05/06 5:31:09 PM MDT,22,LAET,Campus Guadalajara,Hombre,MEXICANA,21 a 22 años,Partly disagree,Partly agree,Partly agree,Partly agree,Partly agree,Partly agree,Partly agree,Partly agree,Partly agree,Partly agree,Partly agree,Partly agree,8,Por que no la practico del todo.
2025/05/06 5:33:06 PM MDT,23,LAE,Campus Guadalajara,Mujer,Mexico,23 a 24 años,Partly agree,Not sure,Completely agree,Partly disagree,Completely agree,Partly agree,Completely agree,Partly agree,Completely agree,Partly agree,Partly agree,Partly agree,8,"Pues el TEC complementó mi educación sobre la sostenibilidad, pero la mayoría lo adquiero de internet. "
2025/05/06 5:33:26 PM MDT,24,LAE,Campus Guadalajara,Hombre,Mexicano,21 a 22 años,Partly agree,Not sure,Partly agree,Not sure,Completely agree,Partly agree,Not sure,Completely agree,Completely agree,Partly agree,Partly agree,Not sure,8,"Aprendí cosas que antes podría no tomar en cuenta y tengo una perspectiva más completa en mi toma de decisiones, valorando y tomando a consideracion todos los aspectos. "
2025/05/06 5:33:41 PM MDT,25,LAET19,Campus Guadalajara,Mujer,Mexicana,21 a 22 años,Partly agree,Not sure,Completely agree,Partly agree,Not sure,Completely agree,Partly agree,Partly disagree,Partly agree,Not sure,Completely agree,Completely agree,9,"He podido aprender bastante información sobre el medio ambiente, la importancia de la sostenibilidad y mi conciencia sobre esos temas han incrementado."
2025/05/06 5:33:45 PM MDT,26,LAET,Campus Guadalajara,Hombre,Mexicana,21 a 22 años,Completely agree,Partly disagree,Not sure,Partly disagree,Partly agree,Partly agree,Partly disagree,Completely agree,Completely agree,Completely agree,Partly agree,Completely disagree,10,"Cambió mi mentalidad porque antes pensaba que hacer negocios era solo hacer dinero, sin embargo ahora se que los negocios son para buscar un impacto positivo en la sociedad y en el medio ambiente."
2025/05/06 5:33:53 PM MDT,27,LAET ,Campus Guadalajara,Hombre,MEXICANO ,23 a 24 años,Completely agree,Partly disagree,Not sure,Not sure,Partly agree,Not sure,Completely agree,Partly agree,Not sure,Completely agree,Not sure,Partly agree,6,sIENTO QUE NECESITO ESTUDIAR MAS EL TEMA 
2025/05/06 5:34:05 PM MDT,28,LAET,Campus Guadalajara,Mujer,mexicana,21 a 22 años,Completely agree,Completely disagree,Completely agree,Partly disagree,Not sure,Not sure,Completely agree,Partly agree,Partly agree,Completely agree,Partly disagree,Completely agree,8,"aprendí sobre creación de valor compartido, innovación de modelos de negocios, y empresas tipo b; juntando así un enfoque de ética empresarial, con el objetivo de generar también un impacto en la sociedad, y crear beneficios tangibles para todas las partes"
2025/05/06 5:34:22 PM MDT,29,LAET,Campus Guadalajara,Hombre,Mexicana,21 a 22 años,Partly agree,Completely agree,Completely agree,Partly agree,Partly agree,Partly agree,Completely agree,Partly agree,Completely agree,Partly agree,Partly disagree,Partly agree,10,Entender el impacto que tienen las operaciones diarias de empresas locales me hace pensar el impacto que tienen las empresas globales que operan en mayores cantidades.
2025/05/06 5:34:34 PM MDT,30,LAET,Campus Guadalajara,Hombre,Mexicano,21 a 22 años,Partly agree,Partly agree,Completely agree,Partly agree,Completely agree,Partly agree,Completely agree,Partly agree,Completely agree,Partly agree,Not sure,Partly agree,10,"He tocado los temas de sustentabilidad con mayor frecuencia y me ha interesado el tema
"
2025/05/06 5:34:38 PM MDT,31,LAET,Campus Guadalajara,Hombre,Mexicano,21 a 22 años,Completely agree,Not sure,Completely agree,Partly disagree,Not sure,Completely agree,Completely agree,Completely agree,Completely agree,Not sure,Partly agree,Partly disagree,10,"En el área de negocios, como líder empresarial, uno debe desarrollar estrategias que garanticen un impacto positivo a nivel económico, social y medioambiental. Esto, no sólo está relacionado con actividades de filantropía, sino también con Corporate Shared Value (hacer dinero al mismo tiempo que se apoyan causas sociales y ambientales como parte del core del negocio). Lo anterior, acompañado con un propósito superior que guíe el bienestar de la empresa y de sus stakeholders. "
2025/05/06 5:34:52 PM MDT,32,LAET19,Campus Guadalajara,Hombre,Chileno ,21 a 22 años,Completely agree,Not sure,Partly agree,Partly agree,Partly agree,Partly agree,Not sure,Not sure,Not sure,Partly agree,Partly agree,Partly agree,7,He aprendido sobre valor compartido y responsabilidad social 
2025/05/06 5:35:09 PM MDT,33,Estrategia y transformacion de negocios,Campus Guadalajara,Mujer,Mexicana,21 a 22 años,Completely agree,Partly agree,Partly agree,Not sure,Partly agree,Completely agree,Completely agree,Not sure,Partly agree,Not sure,Partly agree,Partly agree,8,En la forma que las empresas ayudan al medio ambiente
2025/05/06 5:35:28 PM MDT,34,LAET,Campus Guadalajara,Mujer,Mexicana,21 a 22 años,Completely agree,Completely agree,Completely agree,Not sure,Not sure,Completely agree,Partly agree,Not sure,Completely agree,Completely agree,Partly agree,Not sure,10,Lleve una optativa que me conscientizó mucho sobre el medio ambiente y el impacto que le causamos. Llevaba la frase de procesos ecológicos en su nombre.
2025/05/06 5:35:49 PM MDT,35,LAET ,Campus Guadalajara,Hombre,Mexicano,21 a 22 años,Completely agree,Partly agree,Completely agree,Partly agree,Completely agree,Not sure,Completely agree,Not sure,Completely agree,Partly agree,Completely agree,Not sure,9,"Siento que realmente si hubo un cambio grande, ya que hace unos años no le daba la cierta importancia al tema de sostenibilidad y ahora siento que es esencial para cualquier cosa y momento "
2025/05/06 5:36:15 PM MDT,36,LAE,Campus Guadalajara,Mujer,Mexicana,21 a 22 años,Partly agree,Not sure,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,Partly agree,Partly agree,Completely agree,Partly agree,Completely agree,10,"gracias a la carrera he tomado mas conciencia sobre mis actos y como afectan las industrias a estas cosas, muchas personas ni se detienen a pensar que en realidad es un problema "
2025/05/06 5:36:32 PM MDT,37,LAET,Campus Guadalajara,Mujer,México ,21 a 22 años,Completely agree,Completely agree,Completely agree,Partly agree,Completely agree,Not sure,Completely agree,Completely agree,Partly agree,Partly agree,Partly agree,Partly agree,7,TUVO GRAN IMPACTO PERO Necesito SER MÁS CONSCIENTE 
2025/05/06 5:36:38 PM MDT,38,LAE,Campus Guadalajara,Mujer,mexicana,21 a 22 años,Completely agree,Not sure,Partly agree,Partly agree,Completely agree,Completely agree,Partly agree,Partly disagree,Partly agree,Partly agree,Not sure,Completely agree,8,A lo largo de la carrera vi distintos puntos acerca de esto por lo que cual me ayudo a desarrollar mi pensamiento y perspectiva acerca de varios aspectos relacionado con esto
2025/05/06 5:37:02 PM MDT,39,LAET,Campus Guadalajara,Mujer,Salvadoreña,21 a 22 años,Completely agree,Not sure,Completely agree,Completely disagree,Completely agree,Completely agree,Completely disagree,Completely agree,Completely disagree,Completely disagree,Completely agree,Completely agree,8,considero haber aprendido mucho pero siento que aun me falta informarme más
2025/05/06 5:37:12 PM MDT,40,LAE,Campus Guadalajara,Mujer,Mexicana,21 a 22 años,Completely agree,Not sure,Partly agree,Partly agree,Completely agree,Partly agree,Completely agree,Not sure,Completely agree,Not sure,Partly agree,Completely agree,6,Si te enseñan sobre el impacto ambiental y como se pueden hacer negocios cuidando el impacto ambiental que tenemos.
2025/05/06 5:37:59 PM MDT,41,Licenciatura en Estrategia y Transformación de Negocios ,Campus Guadalajara,Hombre,Mexicana ,21 a 22 años,Partly agree,Partly agree,Partly agree,Not sure,Partly agree,Not sure,Partly agree,Not sure,Partly agree,Partly agree,Not sure,Not sure,8,Por todos los casos en vistos en las materias 
2025/05/06 5:38:14 PM MDT,42,LAET,Campus Guadalajara,Mujer,Mexicana,21 a 22 años,Completely agree,Partly agree,Completely agree,Partly agree,Partly agree,Partly agree,Partly agree,Partly disagree,Partly agree,Completely agree,Partly agree,Partly agree,8,Te vas haciendo más consciente de tus actos del día a día gracias a todo lo que puedes llegar a darte cuenta
2025/05/06 5:38:17 PM MDT,43,LAE,Campus Guadalajara,Mujer,Mexicana ,21 a 22 años,Completely agree,Not sure,Completely disagree,Completely agree,Partly agree,Partly agree,Partly agree,Not sure,Completely agree,Partly agree,Partly agree,Partly agree,9,Considero que aun necesito ser un poco más consciente en algunas acciones sin embargo me preocupa a futuro por lo que si busco implementarlo 
2025/05/06 5:38:21 PM MDT,44,LAET,Campus Guadalajara,Mujer,Mexicana,21 a 22 años,Partly agree,Not sure,Completely agree,Completely agree,Partly agree,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,9,Considero que con diferentes materias nos han concientizado de mejor manera y nos han hecho buscar estrategias sobre como podemos impactar positivamente. 
2025/05/06 5:39:13 PM MDT,45,LAE,Campus Guadalajara,Hombre,Mexicano,21 a 22 años,Partly agree,Partly agree,Not sure,Partly disagree,Completely agree,Completely agree,Not sure,Completely disagree,Partly agree,Partly agree,Partly disagree,Not sure,8,"Realmente me considero una persona que piensa respecto a la sostenibilidad, y creo que a lo largo de la carrera también me hizo pensar cosas nuevas que normalmente no las pensaba."
2025/05/06 6:14:57 PM MDT,46,LAET,Campus Guadalajara,Mujer,Mexicana,21 a 22 años,Completely agree,Partly agree,Partly agree,Partly disagree,Partly agree,Not sure,Completely agree,Partly agree,Not sure,Partly agree,Not sure,Not sure,8,Me di cuenta que hay un tipo de consumidor que se fija en tendencias sustentables al momento de realizar una compra.
2025/05/08 1:02:13 PM MDT,47,LAET ,Campus Guadalajara,Hombre,Mexicana,21 a 22 años,Completely agree,Not sure,Completely agree,Partly disagree,Completely agree,Completely agree,Partly agree,Completely agree,Completely agree,Completely agree,Completely agree,Partly agree,8,"Considero que al rededor de mi carrera tuve la oportunidad de estar dentro de bloques o materias que abordaban estos temas y pude tener mayor conocimiento de ello, como las empresas aplican las ODS y como con ello pueden abrir puertas a oportunidades, lo cual considero que es de gran importancia, ya que antes no lograba ver el impacto que puede causar una empresa socialmente responsable a una tradicional que no adopta estos procesos."
2025/05/08 7:17:46 PM MDT,48,LAET,Campus Sinaloa,Hombre,Mexicana,25 años o más,Completely agree,Completely disagree,Partly disagree,Completely agree,Partly agree,Not sure,Partly agree,Partly disagree,Not sure,Partly agree,Not sure,Completely agree,7,"No era mucho de poner atención a este tipo de temas, pero ahora si estoy más consciente de estas situaciones y como mi comportamiento y decisiones tienen un impacto."
2025/05/08 7:18:57 PM MDT,49,LAET,Campus Sinaloa,Mujer,MEXICANA,21 a 22 años,Not sure,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,10,"La optativa de ecología con Daniel chiquete fue lo que más cambió mi perspectiva por todos los temas que tocaron, se me hizo muy interesante, y por su puesto en todas las materias casi siempre tocábamos los ODS o aprendimos los estándares GRI"
2025/05/08 7:24:16 PM MDT,50,LAET,Campus Sinaloa,Hombre,Mexicano,21 a 22 años,Completely agree,Completely disagree,Completely agree,Completely disagree,Completely agree,Partly disagree,Completely agree,Completely agree,Not sure,Partly disagree,Partly disagree,Completely agree,4,"Creo que aunque si tenemos responsabilidad individual, nos deberian inculcar mas el exigir a las entidades gubernamentales la regulacion de las grandes empresas y de los grandes contaminantes, ya que son esos los principales problemas, aunque eso sacrifique nuestro estilo de vida, esto ayudaria a que cada vez mas gente exiga esto y que se vea mas el problema de raiz."
2025/05/08 7:25:22 PM MDT,51,LAE,Campus Sinaloa,Mujer,Mexicana,21 a 22 años,Partly agree,Not sure,Partly agree,Partly agree,Partly agree,Partly agree,Completely agree,Not sure,Partly agree,Partly agree,Partly agree,Not sure,7,"Ya que enseñan mas que nada no solo teoría sobre las materias, sino que involucran otro aspecto que es lo ambiental y lo que pasa alrededor del mundo "
2025/05/08 7:26:02 PM MDT,52,LAEt,Campus Sinaloa,Hombre,Mexicana,23 a 24 años,Completely agree,Completely agree,Completely agree,Partly agree,Completely agree,Partly agree,Completely agree,Partly agree,Completely agree,Partly agree,Partly agree,Completely agree,9,"Me ayudó a conocer cuáles son las causas reales con datos duros dentro de los negocios pero en mi casa ya teníamos una fuerte educación sobre el cuidado del medioambiente. Sin embargo, creo que el poder hacer un verdadero cambio está realmente en las grandes corporaciones."
2025/05/08 7:28:22 PM MDT,53,Laet,Campus Sinaloa,Mujer,Mexicana ,25 años o más,Completely agree,Completely agree,Completely agree,Not sure,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,10,"Por qué he estado en diferentes proyectos que me han ayudado a comprender la importancia de la sostenibilidad y lo desenfocados que estamos como sociedad , también me ha abierto mente para hacer proyectos dirigidos al sentido humano. "
2025/05/08 7:41:46 PM MDT,54,LAET,Campus Sinaloa,Hombre,MEXICANO,21 a 22 años,Partly agree,Partly agree,Partly agree,Partly agree,Partly agree,Partly agree,Partly agree,Partly agree,Partly agree,Partly agree,Partly agree,Partly agree,6,POCO
2025/05/08 7:44:46 PM MDT,55,LAET ,Campus Sinaloa,Hombre,Mexicana ,21 a 22 años,Completely agree,Completely agree,Partly agree,Partly agree,Completely agree,Partly agree,Partly agree,Partly agree,Partly agree,Partly agree,Completely agree,Completely agree,9,Han cambiado de manera positiva desde que se toman las decisiones ya que tienes un panorama de manera positiva de cómo se puede impactar a la organización junto con los stakeholders involucrados no solo pensar en el tema económico y dejar a un lado el impacto ambiental e igual que es una distinción para la organización en la forma en que la sociedad la veda y puede generar un plus  
2025/05/08 7:50:40 PM MDT,56,LAET,Campus Sinaloa,Mujer,Mexicana ,21 a 22 años,Completely agree,Not sure,Partly agree,Partly agree,Completely agree,Partly disagree,Partly agree,Not sure,Completely agree,Partly agree,Not sure,Not sure,10,He creado mayor conciencia a raiz de unos libros que estoy leyendo
2025/05/12 5:44:01 PM MDT,57,LAF,Campus Sinaloa,Mujer,Mexicana,23 a 24 años,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,Completely agree,Not sure,Partly agree,Partly agree,Partly agree,Completely agree,Partly disagree,10,"Noto que tenemos diferentes habitos que el resto de comunidades
"
2025/05/12 5:44:03 PM MDT,58,LAF,Campus Sinaloa,Mujer,Mexicana,21 a 22 años,Completely agree,Completely agree,Completely agree,Partly agree,Completely agree,Partly agree,Partly agree,Partly agree,Partly agree,Partly agree,Completely agree,Partly agree,7,si vimos temas relacionados pero no sobre concientizarnos si no mas hacia las empresas y negocios 
2025/05/12 5:45:34 PM MDT,59,LAF,Campus Sinaloa,Hombre,mexicano,21 a 22 años,Completely agree,Partly disagree,Partly disagree,Not sure,Partly agree,Partly disagree,Not sure,Completely disagree,Completely disagree,Partly agree,Partly agree,Partly disagree,5,no
2025/05/12 5:45:53 PM MDT,60,LAF,Campus Sinaloa,Hombre,Mexicana,21 a 22 años,Partly agree,Partly agree,Partly agree,Partly agree,Completely agree,Not sure,Partly agree,Partly disagree,Partly agree,Partly agree,Partly agree,Completely agree,6,Los temas vistos durante las materias no eran arduamente convincentes. Suenan más a doctrina que a un verdadero problema a resolver. 
2025/05/12 5:45:57 PM MDT,61,LAF,Campus Sinaloa,Mujer,Mexicana,21 a 22 años,Completely agree,Not sure,Completely agree,Partly agree,Completely agree,Completely agree,Completely agree,Partly agree,Partly agree,Completely agree,Not sure,Completely agree,9,"En sí, no cambió mi mentalidad, sino que reforzó conocimientos, valores y costumbres que ya traía desde pequeña. Fueron buenos temas que al hacer conciencia se puede lograr un cambio."
2025/05/12 5:46:35 PM MDT,62,LAF,Campus Sinaloa,Mujer,MEXICANA,21 a 22 años,Completely agree,Completely agree,Completely agree,Partly agree,Completely agree,Completely agree,Partly agree,Completely agree,Completely agree,Not sure,Completely agree,Completely agree,10,Al realizar la concentración en Negocios Conscientes aprendí bastante de todo lo que rodea a la sostenibilidad desde mi vida personal hasta el mundo corporativo
2025/05/12 5:46:41 PM MDT,63,Finanzas,Campus Sinaloa,Hombre,Mexicano,21 a 22 años,Partly agree,Completely agree,Completely agree,Partly agree,Completely agree,Not sure,Partly agree,Partly disagree,Partly agree,Completely agree,Partly agree,Partly agree,10,Vimos muchos contenidos respecto a este tema y me cambió la forma de verlo
2025/05/12 5:46:42 PM MDT,64,LAF,Campus Sinaloa,Hombre,MEXICANA,21 a 22 años,Partly disagree,Partly disagree,Not sure,Partly disagree,Partly disagree,Partly agree,Partly agree,Partly agree,Partly agree,Partly disagree,Partly agree,Partly agree,7,"La verdad es que no cambia mucho, me ayuda a comprender de una mejor manera las tendencias que estan marcando al mundo."
2025/05/12 5:46:47 PM MDT,65,LAF,Campus Sinaloa,Hombre,Mexicana,21 a 22 años,Partly disagree,Partly agree,Completely agree,Partly agree,Not sure,Not sure,Completely agree,Partly agree,Completely disagree,Not sure,Partly agree,Partly agree,8,Aprendi y desaprendi ciertas cosas del tema a pesar de que ya habia tenido educación en esos temas.
2025/05/12 5:46:55 PM MDT,66,LAF,Campus Sinaloa,Mujer,mexicana,21 a 22 años,Completely agree,Partly agree,Completely agree,Partly agree,Completely agree,Completely agree,Completely agree,Completely agree,Partly agree,Completely agree,Partly agree,Partly agree,10,Estar en un ambiente rodeado que busca tener un impacto ambiental me ayudo a tener mas conciencia en el tema y pensar antes de tomar una desición 
2025/05/12 5:47:01 PM MDT,67,LAF,Campus Sinaloa,Hombre,Mexicano,21 a 22 años,Partly disagree,Partly agree,Partly agree,Partly disagree,Not sure,Partly disagree,Partly disagree,Partly disagree,Partly disagree,Partly agree,Partly agree,Partly agree,4,Clases de negocios conscientes
2025/05/12 5:47:27 PM MDT,68,LAF y LEM ,Campus Sinaloa,Mujer,Mexicana,21 a 22 años,Partly agree,Completely agree,Partly agree,Not sure,Partly agree,Completely agree,Partly agree,Not sure,Completely agree,Completely agree,Completely agree,Completely agree,10,En clase hablamos más sobre practicas sostenibles y del cumplimiento de ODS 2030 
2025/05/12 5:47:29 PM MDT,69,LAF,Campus Sinaloa,Mujer,Mexicana,21 a 22 años,Completely agree,Not sure,Completely agree,Partly disagree,Partly agree,Partly agree,Completely agree,Partly agree,Completely agree,Completely agree,Not sure,Partly agree,4,Siempre he sido consiente de eso independientemente de lo que me enseñan en la escuela.
2025/05/12 5:49:01 PM MDT,70,Licenciatura en Finanzas,Campus Sinaloa,Mujer,Mexicana,21 a 22 años,Completely agree,Completely agree,Completely agree,Partly agree,Completely agree,Partly agree,Completely agree,Completely disagree,Completely agree,Not sure,Partly agree,Partly disagree,10,Tuve varias clases que me permitieron reflexionar más sobre este tema y aprender cómo puedo ayudar e impactar
